"Neighbourhood","Cluster","CommunityArea"
"Maybank","Fort Garry North","Fort Garry"
"McLeod Industrial","River East East","River East"
"McMillan","River Heights East","River Heights"
"Meadowood","St. Vital South","St. Vital"
"Meadows","Transcona","Transcona"
"Melrose","Transcona","Transcona"
"Minnetonka","St. Vital South","St. Vital"
"Minto","Downtown West","Downtown"
"Mission Gardens","Transcona","Transcona"
"Mission Industrial","St. Boniface East","St. Boniface"
"Montcalm","Fort Garry South","Fort Garry"
"Munroe East","River East East","River East"
"Munroe West","River East West","River East"
"Murray Industrial Park","St. James-Assiniboia East","St. James-Assiniboia"
"Mynarski","Point Douglas North","Point Douglas"
"Niakwa Park","St. Boniface East","St. Boniface"
"Niakwa Place","St. Boniface East","St. Boniface"
